"FullName","Length","Attributes"
"C:\Program Files\Avast Software\Suite\vsched.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vsched.exe.ipending.73f37813","528312","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vsecurebrowser_setup.exe","7133704","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vSetupInf.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vSetupInf.exe.ipending.73f37813","4718568","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vSupportTool.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vSupportTool.exe.ipending.73f37813","11491256","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vsu_worker.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vsu_worker.exe.ipending.73f37813","5210040","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vTuneupSvc.exe","844288","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vTuneupSvc.exe.ipending.73f37813","22361016","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vwa_3rd_party_host_32.exe.ipending.73f37813","2434384","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vwa_3rd_party_host_64.exe.ipending.73f37813","3071824","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vwsc_proxy.exe.ipending.73f37813","56912","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\vwsc_proxy.exe.manifest.ipending.73f37813","958","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\Inf\x64\vaswBoot.exe.ipending.73f37813","325560","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\RescueDisk\vaswPEAntivirus.exe.ipending.73f37813","14278584","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\RescueDisk\vaswPEBrowser.exe.ipending.73f37813","4015032","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\RescueDisk\vaswPEBrowserExp.exe.ipending.73f37813","4285368","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\RescueDisk\vaswPECommander.exe.ipending.73f37813","3826616","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\RescueDisk\vaswPEShell.exe.ipending.73f37813","4043704","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\RescueDisk\vaswShMin.exe.ipending.73f37813","442808","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\x86\vaswRunDll.exe.ipending.73f37813","4160440","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\x86\vfirefox_pass.exe.ipending.73f37813","521656","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\x86\vgaming_hook.exe.ipending.73f37813","541112","Hidden, System, Archive"
"C:\Program Files\Avast Software\Suite\x86\vRegSvr.exe.ipending.73f37813","4094392","Hidden, System, Archive"
"C:\Program Files\Common Files\Avast Software\Icarus\avast-av-vps\vbug_report.exe","6480888","Hidden, System"
"C:\Program Files\Common Files\Avast Software\Icarus\avast-suite\vbug_report.exe","6480888","Hidden, System, Archive"
"C:\Program Files\Common Files\Avast Software\Overseer\voverseer.exe","844288","Hidden, System"
"C:\Program Files\Common Files\Corel\Shared\Shell Extension\x64\vPropSchemaReg.exe","1284608","Hidden, System, Archive"
"C:\Program Files\Common Files\Corel\Shared\Shell Extension\x64\vShellUninst.exe","1172480","Hidden, System, Archive"
"C:\Program Files\Common Files\Corel\Shared\Shell Extension\x86\vPropSchemaReg.exe","1269760","Hidden, System, Archive"
"C:\Program Files\Common Files\microsoft shared\ClickToRun\vappvcleaner.exe","2191360","Hidden, System, Archive"
"C:\Program Files\Common Files\microsoft shared\ClickToRun\vAppVShNotify.exe","1458176","Hidden, System, Archive"
"C:\Program Files\Common Files\microsoft shared\ClickToRun\vInspectorOfficeGadget.exe","49056","Hidden, System"
"C:\Program Files\Common Files\microsoft shared\ClickToRun\vIntegratedOffice.exe","5597696","Hidden, System, Archive"
"C:\Program Files\Common Files\microsoft shared\ClickToRun\vMavInject32.exe","1382400","Hidden, System, Archive"
"C:\Program Files\Common Files\microsoft shared\ClickToRun\vOfficeC2RClient.exe","29103104","Hidden, System, Archive"
"C:\Program Files\Common Files\microsoft shared\ClickToRun\vOfficeClickToRun.exe.4B19C1A953E0BB09669C63545A83C039.360ResTmp","13905920","Hidden, System"
"C:\Program Files\Common Files\microsoft shared\ClickToRun\vofficesvcmgr.exe","4760576","Hidden, System, Archive"
"C:\Program Files\Common Files\microsoft shared\OFFICE16\vLICLUA.EXE","1171456","Hidden, System, Archive"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Connect64\vConnect.exe","1389408","Hidden, System"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Connect64\vConnect.exe.config","364","Hidden, System"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Connect64\vDIM.EXE","1464320","Hidden, System, Archive"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Draw\vDIM.EXE","1464320","Hidden, System, Archive"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Filters64\vCorelPS2PDF.exe","1234944","Hidden, System, Archive"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Filters64\vooxmlConvert.exe","1323008","Hidden, System, Archive"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Filters64\vooxmlConvertInstaller.exe","1317888","Hidden, System, Archive"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\FontNav64\vFontNav.exe","1240576","Hidden, System, Archive"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\PHOTO-PAINT\vDIM.EXE","1464320","Hidden, System, Archive"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Programs64\vBarCode.exe","1208320","Hidden, System, Archive"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Programs64\vCap.exe","3106816","Hidden, System, Archive"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Programs64\vCapture.exe","1382400","Hidden, System, Archive"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Programs64\vCdrConv.exe","2939392","Hidden, System, Archive"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Programs64\vCorelDRW.exe","844288","Hidden, System"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Programs64\vCorelDRW.exe.config","364","Hidden, System"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Programs64\vCorelPP.exe","1520640","Hidden, System, Archive"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Programs64\vCorelPP.exe.config","364","Hidden, System"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Programs64\vDIM.EXE","1464320","Hidden, System, Archive"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Programs64\vPrintWiz.exe","1442304","Hidden, System, Archive"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Setup\vSetup.exe","4174336","Hidden, System, Archive"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Setup\vSetupARP.exe","3753472","Hidden, System, Archive"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\Setup\CGS17\vw_cproc_p_11.1.048_redist_intel64.exe","24318224","Hidden, System"
"C:\Program Files\Corel\CorelDRAW Graphics Suite X7\WritingTools\Bin64\vWTsptlEN.EXE","1517568","Hidden, System, Archive"
"C:\Program Files\DellTPad\vDellTouchpad.exe","5551512","Hidden, System"
"C:\Program Files\DellTPad\vDellTPad.exe","14900224","Hidden, System, Archive"
"C:\Program Files\DellTPad\vUninstap.exe","1635840","Hidden, System, Archive"
"C:\Program Files\DigitalPersona\Pro Workstation\Bin\vDpHostW.exe","844288","Hidden, System"
"C:\Program Files\DigitalPersona\Pro Workstation\Bin\de\vDpHostW.exe.mui","4096","Hidden, System"
"C:\Program Files\DigitalPersona\Pro Workstation\Bin\es\vDpHostW.exe.mui","4096","Hidden, System"
"C:\Program Files\DigitalPersona\Pro Workstation\Bin\fr\vDpHostW.exe.mui","4096","Hidden, System"
"C:\Program Files\DigitalPersona\Pro Workstation\Bin\it\vDpHostW.exe.mui","4096","Hidden, System"
"C:\Program Files\DigitalPersona\Pro Workstation\Bin\ja\vDpHostW.exe.mui","3072","Hidden, System"
"C:\Program Files\DigitalPersona\Pro Workstation\Bin\ko\vDpHostW.exe.mui","3072","Hidden, System"
"C:\Program Files\DigitalPersona\Pro Workstation\Bin\pt-BR\vDpHostW.exe.mui","4096","Hidden, System"
"C:\Program Files\DigitalPersona\Pro Workstation\Bin\zh-Hans\vDpHostW.exe.mui","3072","Hidden, System"
"C:\Program Files\DigitalPersona\Pro Workstation\Bin\zh-Hant\vDpHostW.exe.mui","3072","Hidden, System"
"C:\Program Files\FileZilla FTP Client\vfilezilla.exe","4908032","Hidden, System, Archive"
"C:\Program Files\FileZilla FTP Client\vfzstorj.exe","10881536","Hidden, System, Archive"
"C:\Program Files\FileZilla FTP Client\vuninstall.exe","102326","Hidden, System"
"C:\Program Files\Git\vgit-bash.exe","1325056","Hidden, System, Archive"
"C:\Program Files\Git\vgit-cmd.exe","1324544","Hidden, System, Archive"
"C:\Program Files\Git\vunins000.exe","4444872","Hidden, System"
"C:\Program Files\Git\bin\vbash.exe","1233408","Hidden, System, Archive"
"C:\Program Files\Git\bin\vgit.exe","1232896","Hidden, System, Archive"
"C:\Program Files\Git\bin\vsh.exe","1233408","Hidden, System, Archive"
"C:\Program Files\Git\cmd\vgit-gui.exe","1324032","Hidden, System, Archive"
"C:\Program Files\Git\cmd\vgit-lfs.exe","1232896","Hidden, System, Archive"
"C:\Program Files\Git\cmd\vgit-receive-pack.exe","1232896","Hidden, System, Archive"
"C:\Program Files\Git\cmd\vgit-upload-pack.exe","1232896","Hidden, System, Archive"
"C:\Program Files\Git\cmd\vgitk.exe","1324032","Hidden, System, Archive"
"C:\Program Files\Git\cmd\vscalar.exe","1232896","Hidden, System, Archive"
"C:\Program Files\Git\cmd\vtig.exe","1233408","Hidden, System, Archive"
"C:\Program Files\Git\mingw64\bin\vadig.exe","74364","Hidden, System"
"C:\Program Files\Git\mingw64\bin\vahost.exe","53857","Hidden, System"
"C:\Program Files\Git\mingw64\bin\vantiword.exe","284448","Hidden, System"
"C:\Program Files\Git\mingw64\bin\vblocked-file-util.exe","51506","Hidden, System"
"C:\Program Files\Git\mingw64\bin\vbrotli.exe","72001","Hidden, System"
"C:\Program Files\Git\mingw64\bin\vbunzip2.exe","70978","Hidden, System"
"C:\Program Files\Git\mingw64\libexec\git-core\vgit-credential-wincred.exe","1253376","Hidden, System, Archive"
"C:\Program Files\Git\mingw64\libexec\p11-kit\vp11-kit-remote.exe","73143","Hidden, System"
"C:\Program Files\Git\mingw64\share\git\vcompat-bash.exe","1233408","Hidden, System, Archive"
"C:\Program Files\Git\usr\bin\varch.exe","35876","Hidden, System"
"C:\Program Files\Git\usr\lib\awk\vgrcat.exe","10030","Hidden, System"
"C:\Program Files\Git\usr\lib\gnupg\vgpg-auth.exe","101750","Hidden, System"
"C:\Program Files\Git\usr\lib\ssh\vsftp-server.exe","147568","Hidden, System"
"C:\Program Files\Git\usr\lib\tar\vrmt.exe","56237","Hidden, System"
"C:\Program Files\Git\usr\libexec\vfrcode.exe","43335","Hidden, System"
"C:\Program Files\Kingsoft\office6\vwpscloudsvr.exe","1713152","Hidden, System, Archive"
"C:\Program Files\LibreOffice\program\vgengal.exe","1303552","Hidden, System, Archive"
"C:\Program Files\Microsoft Office\Office16\vOSPPREARM.EXE","216968","Hidden, System"
"C:\Program Files\Microsoft Office\root\Client\vAppVDllSurrogate.exe","221664","Hidden, System, SparseFile"
"C:\Program Files\Microsoft Office\root\Integration\vIntegrator.exe","6281656","Hidden, System, SparseFile"
"C:\Program Files\Microsoft Office\root\Office16\vACCICONS.EXE","4275096","Hidden, System, SparseFile"
"C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\DW\vDW20.EXE","121216","Hidden, System, SparseFile"
"C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\OFFICE16\vai.exe","123232","Hidden, System, SparseFile"
"C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Smart Tag\vSmartTagInstall.exe","34736","Hidden, System, SparseFile"
"C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX64\Microsoft Shared\Source Engine\vOSE.EXE","282480","Hidden, System, SparseFile"
"C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX86\Microsoft Shared\EQUATION\veqnedt32.exe","0","Hidden, System, SparseFile"
"C:\Program Files\Microsoft Office\root\vfs\ProgramFilesCommonX86\Microsoft Shared\OFFICE16\vai.exe","102240","Hidden, System, SparseFile"
"C:\Program Files\Microsoft Office\root\vfs\ProgramFilesX64\Microsoft Analysis Services\AS OLEDB\140\vSQLDumper.exe","189536","Hidden, System, SparseFile"
"C:\Program Files\Microsoft Office\root\vfs\ProgramFilesX86\Microsoft Analysis Services\AS OLEDB\140\vSQLDumper.exe","156552","Hidden, System, SparseFile"
"C:\Program Files\Microsoft Office\root\vfs\ProgramFilesX86\Microsoft Office\Office16\vAppSharingHookController.exe","56640","Hidden, System, SparseFile"
"C:\Program Files\Microsoft Office\root\vfs\Windows\Installer\{90160000-000F-0000-1000-0000000FF1CE}\vaccicons.exe","4275072","Hidden, System, SparseFile"
"C:\Program Files\Microsoft Office\root\vfs\Windows\Installer\{90160000-001F-0409-1000-0000000FF1CE}\vmisc.exe","1040256","Hidden, System, SparseFile"
"C:\Program Files\Microsoft Office\root\vfs\Windows\Installer\{90160000-001F-040C-1000-0000000FF1CE}\vmisc.exe","1040256","Hidden, System, SparseFile"
"C:\Program Files\Microsoft Office\root\vfs\Windows\Installer\{90160000-001F-0C0A-1000-0000000FF1CE}\vmisc.exe","1040256","Hidden, System, SparseFile"
"C:\Program Files\Microsoft Office\root\vfs\Windows\Installer\{90160000-006E-0409-1000-0000000FF1CE}\vmisc.exe","1040256","Hidden, System, SparseFile"
"C:\Program Files\Microsoft Office 15\ClientX64\vIntegratedOffice.exe","5206016","Hidden, System"
"C:\Program Files\Microsoft OneDrive\vOneDrive.App.exe","959336","Hidden, System"
"C:\Program Files\Realtek\Audio\HDA\vCreateRtkToastLnk.exe","1259008","Hidden, System, Archive"
"C:\Program Files\VS Revo Group\Revo Uninstaller\vRevoSrp.exe","614400","Hidden, System, Archive"
"C:\Program Files\Waves\MaxxAudio\vMaxxAudioControl64.exe","4421632","Hidden, System, Archive"
"C:\Program Files\WebTestSafeExamBrowser\Application\vCefSharp.BrowserSubprocess.exe","6656","Hidden, System"
"C:\Program Files\Windows Defender Advanced Threat Protection\vmssense.exe","1376256","Hidden, System"
"C:\Program Files\Windscribe\vdevcon.exe","664576","Hidden, System, Archive"
"C:\Program Files\WinRAR\vRar.exe","1204224","Hidden, System"
"C:\Users\DELL\.antigravity-ide\extensions\devsense.intelli-php-vscode-0.12.17700-win32-x64\out\server\vintelliphp.ls.exe","13707536","Hidden, System, Archive"
"C:\Users\DELL\.antigravity-ide\extensions\devsense.phptools-vscode-1.72.19127-win32-x64\out\server\vdevsense.php.ls.exe","34220032","Hidden, System, Archive"
"C:\Users\DELL\.antigravity-ide\extensions\oderwat.indent-rainbow-8.3.1-universal\node_modules\playwright\bin\vPrintDeps.exe","1472000","Hidden, System, Archive"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\cmd\vgit-receive-pack.exe","1233408","Hidden, System, Archive"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\cmd\vgit-upload-pack.exe","1233408","Hidden, System, Archive"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\cmd\vgit.exe","1233408","Hidden, System, Archive"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\mingw64\bin\vblocked-file-util.exe","51005","Hidden, System"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\mingw64\bin\vbrotli.exe","72001","Hidden, System"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\mingw64\bin\vgit-askpass.exe","48939","Hidden, System"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\mingw64\libexec\git-core\vgit-credential-wincred.exe","1253376","Hidden, System, Archive"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\mingw64\libexec\git-core\vgit-lfs.exe","13300736","Hidden, System, Archive"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\mingw64\share\git\vedit-git-bash.exe","143952","Hidden, System"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\mingw64\share\git\vgit-wrapper.exe","1233408","Hidden, System, Archive"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\usr\bin\vawk.exe","779620","Hidden, System"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\usr\bin\vb2sum.exe","55390","Hidden, System"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\usr\bin\vbasename.exe","34883","Hidden, System"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\usr\lib\ssh\vssh-keysign.exe","475845","Hidden, System"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\usr\lib\ssh\vssh-pkcs11-helper.exe","368874","Hidden, System"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\usr\lib\ssh\vssh-sk-helper.exe","362942","Hidden, System"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\usr\libexec\vgetprocaddr32.exe","266217","Hidden, System"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\git\usr\libexec\vgetprocaddr64.exe","278710","Hidden, System"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\jxrlib\jxrlib\bin\vJxrDecApp.exe","1282560","Hidden, System, Archive"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\libheif\libheif\bin\vheif-convert.exe","1311744","Hidden, System, Archive"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\poppler\Library\bin\vpdfinfo.exe","1265152","Hidden, System, Archive"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\native\poppler\Library\bin\vpdftoppm.exe","1249280","Hidden, System, Archive"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\node\bin\vnode.exe","91945984","Hidden, System, Archive"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\node\node_modules\pnpm\dist\vendor\vfastlist-0.3.0-x64.exe","1468416","Hidden, System, Archive"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\node\node_modules\pnpm\dist\vendor\vfastlist-0.3.0-x86.exe","1414656","Hidden, System, Archive"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\vpython.exe","1291264","Hidden, System, Archive"
"C:\Users\DELL\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\vpythonw.exe","1289728","Hidden, System, Archive"
"C:\Users\DELL\.codex\.tmp\bundled-marketplaces\openai-bundled\plugins\chrome\extension-host\windows\x64\vextension-host.exe","1466368","Hidden, System, Archive"
"C:\Users\DELL\.codex\.tmp\bundled-marketplaces\openai-bundled\plugins\latex\bin\vtectonic.exe","50210816","Hidden, System, Archive"
"C:\Users\DELL\.codex\plugins\.plugin-appserver\vcodex-code-mode-host.exe","54170624","Hidden, System, Archive"
"C:\Users\DELL\.codex\plugins\.plugin-appserver\vcodex-command-runner.exe","1866752","Hidden, System, Archive"
"C:\Users\DELL\.codex\plugins\.plugin-appserver\vcodex-windows-sandbox-setup.exe","9367040","Hidden, System, Archive"
"C:\Users\DELL\AppData\Local\Microsoft\Windows\INetCache\Virtualized",,"Hidden, Directory, NotContentIndexed"
"C:\Users\DELL\AppData\Local\Packages\5319275A.51895FA4EA97F_cv1g1gvanyjgm\AC\INetCache\VKG02B3Q",,"Hidden, System, Directory, NotContentIndexed"
"C:\Users\DELL\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AC\Microsoft\Internet Explorer\DOMStore\VW4L08VL",,"Hidden, System, Directory, NotContentIndexed"
"C:\Users\DELL\AppData\Local\Temp\_temp_heu168yyds\pic\pic0\ver.ico","22798","Hidden, Archive"
"C:\Users\DELL\Downloads\vAnyDesk.exe","8886784","Hidden, System, Archive"
"C:\xampp\vservice.exe","60928","Hidden, System"
"C:\xampp\vuninstall.exe","6594454","Hidden, System"
"C:\xampp\htdocs\HIGH-Q\.venv\Lib\site-packages\pip\_vendor\distlib\vt32.exe","1297920","Hidden, System, Archive"
